,Company #,Purchase Order,Item,Vendor,Description,Unit of Measure,Units,Unit Cost,Cost,Phase
18532,206,1206-CPO-0265,2,Ocean Concrete,FlowCrete HRWR - 110 mm Slump,EA,4.0,6.0,24.0,3/31/1943
18533,206,1206-CPO-0265,3,Ocean Concrete,FlowCrete HRWR - 110 mm Slump,EA,2.0,6.0,12.0,3/31/1943
18534,206,1206-CPO-0265,4,Ocean Concrete,Seasonal Charge -  Per m3 to all concrete Nov 1 - Mar 31,EA,4.0,7.0,28.0,3/31/1943
18535,206,1206-CPO-0265,5,Ocean Concrete,Environmental charge - Applies per m3 to all concrete,EA,4.0,6.0,24.0,3/31/1943
18536,206,1206-CPO-0265,6,Ocean Concrete,Fuel Surcharge - Applies per load to all concrete,EA,1.0,10.0,10.0,3/31/1943
18537,206,1206-CPO-0266,1,Ocean Concrete,35MPA 75MM Shearwalls Int. w/14mm Aggregate,m3,9.2,145.0,1334.0,3/31/1943
18538,206,1206-CPO-0266,2,Ocean Concrete,FlowCrete HRWR - 110 mm Slump,EA,9.2,6.0,55.2,3/31/1943
18539,206,1206-CPO-0266,3,Ocean Concrete,Retarder - Recover,EA,3.31,25.0,82.75,3/31/1943
18540,206,1206-CPO-0266,4,Ocean Concrete,Environmental charge - Applies per m3 to all concrete,EA,9.2,6.0,55.2,3/31/1943
18541,206,1206-CPO-0266,5,Ocean Concrete,Fuel Surcharge - Applies per load to all concrete,EA,1.0,10.0,10.0,3/31/1943
18547,206,1206-CPO-0267,6,Ocean Concrete,Fuel Surcharge - Applies per load to all concrete,EA,12.0,10.0,120.0,3/31/1944
18552,206,1206-CPO-0268,5,Ocean Concrete,Fuel Surcharge - Applies per load to all concrete,EA,4.0,10.0,40.0,3/31/1944
18553,206,1206-CPO-0269,1,Ocean Concrete,35MPA 75MM Shearwalls Int. w/14mm Aggregate,m3,6.2,145.0,899.0,3/31/1943
18554,206,1206-CPO-0269,2,Ocean Concrete,FlowCrete HRWR - 150 mm Slump,EA,6.2,10.0,62.0,3/31/1943
18555,206,1206-CPO-0269,3,Ocean Concrete,Retarder - Recover,EA,4.65,25.0,116.25,3/31/1943
18556,206,1206-CPO-0269,4,Ocean Concrete,Seasonal Charge -  Per m3 to all concrete Nov 1 - Mar 31,EA,6.2,7.0,43.4,3/31/1943
18557,206,1206-CPO-0269,5,Ocean Concrete,Environmental charge - Applies per m3 to all concrete,EA,6.2,6.0,37.2,3/31/1943
18558,206,1206-CPO-0269,6,Ocean Concrete,Fuel Surcharge - Applies per load to all concrete,EA,1.0,10.0,10.0,3/31/1943
18559,206,1206-CPO-0270,1,Ocean Concrete,30MPA 14MM Interior Suspended Slabs @ 48,m3,4.0,158.0,632.0,3/31/1944
18560,206,1206-CPO-0270,2,Ocean Concrete,FlowCrete HRWR - 20mm Increase,EA,8.0,2.0,16.0,3/31/1944
18561,206,1206-CPO-0270,3,Ocean Concrete,Retarder - Recover,EA,2.37,25.0,59.25,3/31/1944
18562,206,1206-CPO-0270,4,Ocean Concrete,Environmental charge - Applies per m3 to all concrete,EA,4.0,6.0,24.0,3/31/1944
18563,206,1206-CPO-0270,5,Ocean Concrete,Fuel Surcharge - Applies per load to all concrete,EA,1.0,10.0,10.0,3/31/1944
18565,206,1206-CPO-0271,2,Ocean Concrete,FlowCrete HRWR - 110 mm Slump,EA,20.8,6.0,124.8,3/31/1943
18567,206,1206-CPO-0271,4,Ocean Concrete,Returned Concrete - Per load to all returned concrete > 2 m3,EA,7.0,25.0,175.0,3/31/1943
18568,206,1206-CPO-0271,5,Ocean Concrete,Environmental charge - Applies per m3 to all concrete,EA,20.8,6.0,124.8,3/31/1943
18569,206,1206-CPO-0271,6,Ocean Concrete,Fuel Surcharge - Applies per load to all concrete,EA,2.0,10.0,20.0,3/31/1943
18570,206,1206-CPO-0272,1,Ocean Concrete,35MPA 75MM Shearwalls Int. w/14mm Aggregate,m3,12.0,145.0,1740.0,3/31/1943
18571,206,1206-CPO-0272,2,Ocean Concrete,FlowCrete HRWR - 150 mm Slump,EA,12.0,10.0,120.0,3/31/1943
18572,206,1206-CPO-0272,3,Ocean Concrete,Retarder - Recover,EA,4.32,25.0,108.0,3/31/1943
18573,206,1206-CPO-0272,4,Ocean Concrete,Returned Concrete - Per load to all returned concrete > 2 m3,EA,2.0,25.0,50.0,3/31/1943
18574,206,1206-CPO-0272,5,Ocean Concrete,Environmental charge - Applies per m3 to all concrete,EA,12.0,6.0,72.0,3/31/1943
18575,206,1206-CPO-0272,6,Ocean Concrete,Fuel Surcharge - Applies per load to all concrete,EA,2.0,10.0,20.0,3/31/1943
18578,206,1206-CPO-0273,3,Ocean Concrete,Retarder - Recover,EA,11.38,25.0,284.5,3/31/1943
18579,206,1206-CPO-0273,4,Ocean Concrete,Environmental charge - Applies per m3 to all concrete,EA,19.2,6.0,115.2,3/31/1943
18580,206,1206-CPO-0273,5,Ocean Concrete,Fuel Surcharge - Applies per load to all concrete,EA,2.0,10.0,20.0,3/31/1943
18581,206,1206-CPO-0274,1,Ocean Concrete,35MPA 75MM Shearwalls Int. w/14mm Aggregate,m3,5.0,145.0,725.0,3/31/1943
18582,206,1206-CPO-0274,2,Ocean Concrete,FlowCrete HRWR - 130 mm Slump,EA,5.0,8.0,40.0,3/31/1943
18583,206,1206-CPO-0274,3,Ocean Concrete,Environmental charge - Applies per m3 to all concrete,EA,5.0,6.0,30.0,3/31/1943
18584,206,1206-CPO-0274,4,Ocean Concrete,Fuel Surcharge - Applies per load to all concrete,EA,1.0,10.0,10.0,3/31/1943
18585,206,1206-CPO-0275,1,Ocean Concrete,35MPA 75MM Shearwalls Int. w/14mm Aggregate,m3,7.8,145.0,1131.0,3/31/1943
18586,206,1206-CPO-0275,2,Ocean Concrete,FlowCrete HRWR - 150 mm Slump,EA,7.8,10.0,78.0,3/31/1943
18587,206,1206-CPO-0275,3,Ocean Concrete,FlowCrete HRWR - 110 mm Slump,EA,6.0,6.0,36.0,3/31/1943
18588,206,1206-CPO-0275,4,Ocean Concrete,Returned Concrete - Per load to all returned concrete > 2 m3,EA,3.0,25.0,75.0,3/31/1943
18589,206,1206-CPO-0275,5,Ocean Concrete,Environmental charge - Applies per m3 to all concrete,EA,7.8,6.0,46.8,3/31/1943
18590,206,1206-CPO-0275,6,Ocean Concrete,Fuel Surcharge - Applies per load to all concrete,EA,1.0,10.0,10.0,3/31/1943
18591,206,1206-CPO-0276,1,Ocean Concrete,35MPA 75MM Shearwalls Int. w/14mm Aggregate,m3,4.2,145.0,609.0,3/31/1943
18592,206,1206-CPO-0276,2,Ocean Concrete,FlowCrete HRWR - 130 mm Slump,EA,4.2,8.0,33.6,3/31/1943
18593,206,1206-CPO-0276,3,Ocean Concrete,Environmental charge - Applies per m3 to all concrete,EA,4.2,6.0,25.2,3/31/1943
18594,206,1206-CPO-0276,4,Ocean Concrete,Fuel Surcharge - Applies per load to all concrete,EA,1.0,10.0,10.0,3/31/1943
18597,206,1206-CPO-0277,3,Ocean Concrete,FlowCrete HRWR - 110 mm Slump,EA,6.0,6.0,36.0,3/31/1946
18599,206,1206-CPO-0277,5,Ocean Concrete,Fuel Surcharge - Applies per load to all concrete,EA,4.0,10.0,40.0,3/31/1946
18600,206,1206-CPO-0278,1,Ocean Concrete,35MPA 75MM Shearwalls Int. w/14mm Aggregate,m3,3.0,145.0,435.0,3/31/1940
18601,206,1206-CPO-0278,2,Ocean Concrete,FlowCrete HRWR - 110 mm Slump,EA,3.0,6.0,18.0,3/31/1940
18602,206,1206-CPO-0278,3,Ocean Concrete,Environmental charge - Applies per m3 to all concrete,EA,3.0,6.0,18.0,3/31/1940
18603,206,1206-CPO-0278,4,Ocean Concrete,Fuel Surcharge - Applies per load to all concrete,EA,1.0,10.0,10.0,3/31/1940
18604,206,1206-CPO-0279,1,Ocean Concrete,35MPA 75MM Shearwalls Int. w/14mm Aggregate,m3,9.2,145.0,1334.0,3/31/1943
18605,206,1206-CPO-0279,2,Ocean Concrete,FlowCrete HRWR - 110 mm Slump,EA,9.2,6.0,55.2,3/31/1943
18606,206,1206-CPO-0279,3,Ocean Concrete,Retarder - Recover,EA,3.45,25.0,86.25,3/31/1943
18607,206,1206-CPO-0279,4,Ocean Concrete,Retarder - Delay Set,EA,1.5,20.0,30.0,3/31/1943
18608,206,1206-CPO-0279,5,Ocean Concrete,FlowCrete HRWR - 110 mm Slump,EA,10.0,6.0,60.0,3/31/1943
18609,206,1206-CPO-0279,6,Ocean Concrete,Fuel Surcharge - Applies per load to all concrete,EA,1.0,10.0,10.0,3/31/1943
18610,206,1206-CPO-0279,7,Ocean Concrete,Environmental charge - Applies per m3 to all concrete,EA,9.2,6.0,55.2,3/31/1943
18611,206,1206-CPO-0280,1,Ocean Concrete,35MPA 75MM Shearwalls Int. w/14mm Aggregate,m3,12.0,145.0,1740.0,3/31/1944
18612,206,1206-CPO-0280,2,Ocean Concrete,FlowCrete HRWR - 110 mm Slump,EA,6.0,6.0,36.0,3/31/1944
18613,206,1206-CPO-0280,3,Ocean Concrete,FlowCrete HRWR - 130 mm Slump,EA,6.0,8.0,48.0,3/31/1944
18614,206,1206-CPO-0280,4,Ocean Concrete,Environmental charge - Applies per m3 to all concrete,EA,12.0,6.0,72.0,3/31/1944
18615,206,1206-CPO-0280,5,Ocean Concrete,Returned Concrete - Per load to all returned concrete > 2 m3,EA,2.0,25.0,50.0,3/31/1944
18616,206,1206-CPO-0280,6,Ocean Concrete,Fuel Surcharge - Applies per load to all concrete,EA,2.0,10.0,20.0,3/31/1944
18617,206,1206-CPO-0281,1,Ocean Concrete,25MPA @ 56 Days 75MM Alt. to Mix # 5 Footings - Typical,m3,8.4,123.0,1033.2,3/31/1943
18618,206,1206-CPO-0281,2,Ocean Concrete,FlowCrete HRWR - 130 mm Slump,EA,8.4,8.0,67.2,3/31/1943
18619,206,1206-CPO-0281,3,Ocean Concrete,Retarder - Recover,EA,1.64,25.0,41.0,3/31/1943
18620,206,1206-CPO-0281,4,Ocean Concrete,FlowCrete HRWR - 110 mm Slump,EA,8.0,6.0,48.0,3/31/1943
18621,206,1206-CPO-0281,5,Ocean Concrete,Environmental charge - Applies per m3 to all concrete,EA,8.4,6.0,50.4,3/31/1943
18622,206,1206-CPO-0281,6,Ocean Concrete,Fuel Surcharge - Applies per load to all concrete,EA,1.0,10.0,10.0,3/31/1943
18623,206,1206-CPO-0282,1,Ocean Concrete,25MPA @ 56 Days 75MM Alt. to Mix # 5 Footings - Typical,m3,2.0,123.0,246.0,3/31/1940
18624,206,1206-CPO-0282,2,Ocean Concrete,FlowCrete HRWR - 130 mm Slump,EA,2.0,8.0,16.0,3/31/1940
18625,206,1206-CPO-0282,3,Ocean Concrete,Environmental charge - Applies per m3 to all concrete,EA,2.0,6.0,12.0,3/31/1940
18626,206,1206-CPO-0282,4,Ocean Concrete,Fuel Surcharge - Applies per load to all concrete,EA,1.0,10.0,10.0,3/31/1940
18627,206,1206-CPO-0283,1,Ocean Concrete,35MPA 75MM Shearwalls Int. w/14mm Aggregate,m3,5.2,145.0,754.0,3/31/1943
18628,206,1206-CPO-0283,2,Ocean Concrete,FlowCrete HRWR - 110 mm Slump,EA,5.2,6.0,31.2,3/31/1943
18629,206,1206-CPO-0283,3,Ocean Concrete,Environmental charge - Applies per m3 to all concrete,EA,5.2,6.0,31.2,3/31/1943
18630,206,1206-CPO-0283,4,Ocean Concrete,Fuel Surcharge - Applies per load to all concrete,EA,1.0,10.0,10.0,3/31/1943
18631,206,1206-CPO-0284,1,Ocean Concrete,35MPA 75MM Shearwalls Int. w/14mm Aggregate,m3,4.8,145.0,696.0,3/31/1944
18632,206,1206-CPO-0284,2,Ocean Concrete,FlowCrete HRWR - 150 mm Slump,EA,4.8,10.0,48.0,3/31/1944
18633,206,1206-CPO-0284,3,Ocean Concrete,Environmental charge - Applies per m3 to all concrete,EA,4.8,6.0,28.8,3/31/1944
18634,206,1206-CPO-0284,4,Ocean Concrete,Fuel Surcharge - Applies per load to all concrete,EA,1.0,10.0,10.0,3/31/1944
18635,206,1206-CPO-0285,1,Ocean Concrete,25MPA 75MM Walls - Typical Ext.,m3,1.2,124.0,148.8,3/31/1944
18636,206,1206-CPO-0285,2,Ocean Concrete,FlowCrete HRWR - 150 mm Slump,EA,1.2,10.0,12.0,3/31/1944
18637,206,1206-CPO-0285,3,Ocean Concrete,Environmental charge - Applies per m3 to all concrete,EA,1.2,6.0,7.2,3/31/1944
18638,206,1206-CPO-0285,4,Ocean Concrete,Fuel Surcharge - Applies per load to all concrete,EA,1.0,10.0,10.0,3/31/1944
18639,206,1206-CPO-0286,1,Ocean Concrete,35MPA 75MM Shearwalls Int. w/14mm Aggregate,m3,5.0,145.0,725.0,3/31/1940
18640,206,1206-CPO-0286,2,Ocean Concrete,FlowCrete HRWR - 130 mm Slump,EA,5.0,8.0,40.0,3/31/1940
18641,206,1206-CPO-0286,3,Ocean Concrete,Retarder - Recover,EA,1.8,25.0,45.0,3/31/1940
18642,206,1206-CPO-0286,4,Ocean Concrete,FlowCrete HRWR - 110 mm Slump,EA,4.0,6.0,24.0,3/31/1940
18643,206,1206-CPO-0286,5,Ocean Concrete,Environmental charge - Applies per m3 to all concrete,EA,5.0,6.0,30.0,3/31/1940
18644,206,1206-CPO-0286,6,Ocean Concrete,Fuel Surcharge - Applies per load to all concrete,EA,1.0,10.0,10.0,3/31/1940
18645,206,1206-CPO-0287,1,Ocean Concrete,25MPA 75MM Walls - Typical Ext.,m3,2.0,124.0,248.0,3/31/1943
18646,206,1206-CPO-0287,2,Ocean Concrete,FlowCrete HRWR - 130 mm Slump,EA,2.0,8.0,16.0,3/31/1943
18647,206,1206-CPO-0287,3,Ocean Concrete,Environmental charge - Applies per m3 to all concrete,EA,2.0,6.0,12.0,3/31/1943
18648,206,1206-CPO-0287,4,Ocean Concrete,Fuel Surcharge - Applies per load to all concrete,EA,1.0,10.0,10.0,3/31/1943
18649,206,1206-CPO-0288,1,Ocean Concrete,35MPA 75MM Shearwalls Int. w/14mm Aggregate,m3,3.0,145.0,435.0,3/31/1944
18650,206,1206-CPO-0288,2,Ocean Concrete,FlowCrete HRWR - 110 mm Slump,EA,3.0,6.0,18.0,3/31/1944
18651,206,1206-CPO-0288,3,Ocean Concrete,Environmental charge - Applies per m3 to all concrete,EA,3.0,6.0,18.0,3/31/1944
18652,206,1206-CPO-0288,4,Ocean Concrete,Fuel Surcharge - Applies per load to all concrete,EA,1.0,10.0,10.0,3/31/1944
18653,206,1206-CPO-0289,1,Ocean Concrete,35MPA 75MM Shearwalls Int. w/14mm Aggregate,m3,6.2,145.0,899.0,3/30/1953
18654,206,1206-CPO-0289,2,Ocean Concrete,FlowCrete HRWR - 110 mm Slump,EA,6.2,6.0,37.2,3/30/1953
18655,206,1206-CPO-0289,3,Ocean Concrete,Environmental charge - Applies per m3 to all concrete,EA,6.2,6.0,37.2,3/30/1953
18656,206,1206-CPO-0289,4,Ocean Concrete,Fuel Surcharge - Applies per load to all concrete,EA,1.0,10.0,10.0,3/30/1953
18657,206,1206-CPO-0290,1,Ocean Concrete,35MPA 75MM Shearwalls Int. w/14mm Aggregate,m3,10.4,145.0,1508.0,3/31/1944
18658,206,1206-CPO-0290,2,Ocean Concrete,FlowCrete HRWR - 110 mm Slump,EA,10.4,6.0,62.4,3/31/1944
18659,206,1206-CPO-0290,3,Ocean Concrete,Environmental charge - Applies per m3 to all concrete,EA,10.4,6.0,62.4,3/31/1944
18660,206,1206-CPO-0290,4,Ocean Concrete,Fuel Surcharge - Applies per load to all concrete,EA,1.0,10.0,10.0,3/31/1944
18661,206,1206-CPO-0291,1,Ocean Concrete,30MPA 14MM Interior Suspended Slabs @ 48,m3,13.4,158.0,2117.2,3/31/1945
18662,206,1206-CPO-0291,2,Ocean Concrete,FlowCrete HRWR - 20mm Increase,EA,26.8,2.0,53.6,3/31/1945
18663,206,1206-CPO-0291,3,Ocean Concrete,Environmental charge - Applies per m3 to all concrete,EA,13.4,6.0,80.4,3/31/1945
18664,206,1206-CPO-0291,4,Ocean Concrete,Fuel Surcharge - Applies per load to all concrete,EA,2.0,10.0,20.0,3/31/1945
18667,206,1206-CPO-0292,3,Ocean Concrete,Returned Concrete - Per load to all returned concrete > 2 m3,EA,2.0,25.0,50.0,3/30/1953
18669,206,1206-CPO-0292,5,Ocean Concrete,Fuel Surcharge - Applies per load to all concrete,EA,5.0,10.0,50.0,3/30/1953
18670,206,1206-CPO-0293,1,Ocean Concrete,35MPA 75MM Shearwalls Int. w/14mm Aggregate,m3,13.0,145.0,1885.0,3/31/1944
18671,206,1206-CPO-0293,2,Ocean Concrete,FlowCrete HRWR - 110 mm Slump,EA,13.0,6.0,78.0,3/31/1944
18672,206,1206-CPO-0293,3,Ocean Concrete,Returned Concrete - Per load to all returned concrete > 2 m3,EA,2.0,25.0,50.0,3/31/1944
18673,206,1206-CPO-0293,4,Ocean Concrete,Environmental charge - Applies per m3 to all concrete,EA,13.0,6.0,78.0,3/31/1944
18674,206,1206-CPO-0293,5,Ocean Concrete,Fuel Surcharge - Applies per load to all concrete,EA,2.0,10.0,20.0,3/31/1944
18675,206,1206-CPO-0294,1,Ocean Concrete,35MPA 75MM Shearwalls Int. w/14mm Aggregate,m3,5.8,145.0,841.0,3/31/1944
18676,206,1206-CPO-0294,2,Ocean Concrete,FlowCrete HRWR - 110 mm Slump,EA,5.8,6.0,34.8,3/31/1944
18677,206,1206-CPO-0294,3,Ocean Concrete,Environmental charge - Applies per m3 to all concrete,EA,5.8,6.0,34.8,3/31/1944
18678,206,1206-CPO-0294,4,Ocean Concrete,Fuel Surcharge - Applies per load to all concrete,EA,1.0,10.0,10.0,3/31/1944
18679,206,1206-CPO-0295,1,Ocean Concrete,35MPA 75MM Shearwalls Int. w/14mm Aggregate,m3,4.6,145.0,667.0,3/30/1953
18680,206,1206-CPO-0295,2,Ocean Concrete,FlowCrete HRWR - 130 mm Slump,EA,4.6,8.0,36.8,3/30/1953
18681,206,1206-CPO-0295,3,Ocean Concrete,FlowCrete HRWR - 110 mm Slump,EA,2.0,6.0,12.0,3/30/1953
18682,206,1206-CPO-0295,4,Ocean Concrete,Environmental charge - Applies per m3 to all concrete,EA,4.6,6.0,27.6,3/30/1953
18683,206,1206-CPO-0295,5,Ocean Concrete,Fuel Surcharge - Applies per load to all concrete,EA,1.0,10.0,10.0,3/30/1953
18684,206,1206-CPO-0296,1,Ocean Concrete,25MPA 75MM Walls - Typical Ext.,m3,2.0,124.0,248.0,3/30/1953
18685,206,1206-CPO-0296,2,Ocean Concrete,FlowCrete HRWR - 110 mm Slump,EA,2.0,6.0,12.0,3/30/1953
18686,206,1206-CPO-0296,3,Ocean Concrete,Environmental charge - Applies per m3 to all concrete,EA,2.0,6.0,12.0,3/30/1953
18687,206,1206-CPO-0296,4,Ocean Concrete,Fuel Surcharge - Applies per load to all concrete,EA,1.0,10.0,10.0,3/30/1953
18688,206,1206-CPO-0297,1,Ocean Concrete,35MPA 75MM Shearwalls Int. w/14mm Aggregate,m3,10.4,145.0,1508.0,3/30/1953
18689,206,1206-CPO-0297,2,Ocean Concrete,FlowCrete HRWR - 110 mm Slump,EA,10.4,6.0,62.4,3/30/1953
18690,206,1206-CPO-0297,3,Ocean Concrete,Returned Concrete - Per load to all returned concrete > 2 m3,EA,2.2,25.0,55.0,3/30/1953
18691,206,1206-CPO-0297,4,Ocean Concrete,Environmental charge - Applies per m3 to all concrete,EA,10.4,6.0,62.4,3/30/1953
18692,206,1206-CPO-0297,5,Ocean Concrete,Fuel Surcharge - Applies per load to all concrete,EA,1.0,10.0,10.0,3/30/1953
18693,206,1206-CPO-0298,1,Ocean Concrete,32MPA 80MM Max Landscape Walls,m3,6.0,137.0,822.0,3/30/1953
18694,206,1206-CPO-0298,2,Ocean Concrete,FlowCrete HRWR - 150 mm Slump,EA,6.0,10.0,60.0,3/30/1953
18695,206,1206-CPO-0298,3,Ocean Concrete,SolarGuard - Slump Retention,EA,6.0,6.0,36.0,3/30/1953
18696,206,1206-CPO-0298,4,Ocean Concrete,Environmental charge - Applies per m3 to all concrete,EA,6.0,6.0,36.0,3/30/1953
18697,206,1206-CPO-0298,5,Ocean Concrete,Fuel Surcharge - Applies per load to all concrete,EA,1.0,10.0,10.0,3/30/1953
18698,206,1206-CPO-0299,1,Ocean Concrete,25MPA 75MM Walls - Typical Ext.,m3,6.0,124.0,744.0,3/30/1953
18699,206,1206-CPO-0299,2,Ocean Concrete,FlowCrete HRWR - 110 mm Slump,EA,6.0,6.0,36.0,3/30/1953
18700,206,1206-CPO-0299,3,Ocean Concrete,SolarGuard - Slump Retention,EA,6.0,6.0,36.0,3/30/1953
18701,206,1206-CPO-0299,4,Ocean Concrete,FlowCrete HRWR - 110 mm Slump,EA,2.0,6.0,12.0,3/30/1953
18702,206,1206-CPO-0299,5,Ocean Concrete,Environmental charge - Applies per m3 to all concrete,EA,6.0,6.0,36.0,3/30/1953
18703,206,1206-CPO-0299,6,Ocean Concrete,Fuel Surcharge - Applies per load to all concrete,EA,1.0,10.0,10.0,3/30/1953
18704,206,1206-CPO-0300,1,Ocean Concrete,25MPA 75MM Walls - Typical Int.,m3,1.0,123.0,123.0,3/31/1944
18705,206,1206-CPO-0300,2,Ocean Concrete,FlowCrete HRWR - 110 mm Slump,EA,1.0,6.0,6.0,3/31/1944
18706,206,1206-CPO-0300,3,Ocean Concrete,Environmental charge - Applies per m3 to all concrete,EA,1.0,6.0,6.0,3/31/1944
18707,206,1206-CPO-0300,4,Ocean Concrete,Fuel Surcharge - Applies per load to all concrete,EA,1.0,10.0,10.0,3/31/1944
18709,206,1206-CPO-0301,2,Ocean Concrete,Environmental charge - Applies per m3 to all concrete,EA,15.0,6.0,90.0,3/31/1944
18710,206,1206-CPO-0301,3,Ocean Concrete,Fuel Surcharge - Applies per load to all concrete,EA,2.0,10.0,20.0,3/31/1944
18711,206,1206-CPO-0302,1,Ocean Concrete,25MPA 75MM Walls - Typical Ext.,m3,9.0,124.0,1116.0,3/30/1953
18712,206,1206-CPO-0302,2,Ocean Concrete,Returned Concrete - Per load to all returned concrete > 2 m3,EA,2.4,25.0,60.0,3/30/1953
18713,206,1206-CPO-0302,3,Ocean Concrete,Environmental charge - Applies per m3 to all concrete,EA,9.0,6.0,54.0,3/30/1953
18714,206,1206-CPO-0302,4,Ocean Concrete,Fuel Surcharge - Applies per load to all concrete,EA,1.0,10.0,10.0,3/30/1953
18715,206,1206-CPO-0304,1,Ocean Concrete,25MPA 75MM Walls - Typical Ext.,m3,1.2,124.0,148.8,3/30/1953
18716,206,1206-CPO-0304,2,Ocean Concrete,FlowCrete HRWR - 150 mm Slump,EA,1.2,10.0,12.0,3/30/1953
18717,206,1206-CPO-0304,3,Ocean Concrete,14mm Aggregate Premium,EA,1.2,10.0,12.0,3/30/1953
18718,206,1206-CPO-0304,4,Ocean Concrete,Environmental charge - Applies per m3 to all concrete,EA,1.2,6.0,7.2,3/30/1953
18719,206,1206-CPO-0304,5,Ocean Concrete,Fuel Surcharge - Applies per load to all concrete,EA,1.0,10.0,10.0,3/30/1953
18720,206,1206-CPO-0305,1,Ocean Concrete,30MPA 14MM Interior Suspended Slabs @ 48,m3,8.0,158.0,1264.0,3/31/1944
18721,206,1206-CPO-0305,2,Ocean Concrete,Returned Concrete - Per load to all returned concrete > 2 m3,EA,3.0,25.0,75.0,3/31/1944
18722,206,1206-CPO-0305,3,Ocean Concrete,Environmental charge - Applies per m3 to all concrete,EA,8.0,6.0,48.0,3/31/1944
18723,206,1206-CPO-0305,4,Ocean Concrete,Fuel Surcharge - Applies per load to all concrete,EA,1.0,10.0,10.0,3/31/1944
18725,206,1206-CPO-0306,2,Ocean Concrete,SolarGuard - Slump Retention,EA,19.4,6.0,116.4,3/30/1953
18726,206,1206-CPO-0306,3,Ocean Concrete,Environmental charge - Applies per m3 to all concrete,EA,19.4,6.0,116.4,3/30/1953
18727,206,1206-CPO-0306,4,Ocean Concrete,Fuel Surcharge - Applies per load to all concrete,EA,2.0,10.0,20.0,3/30/1953
18728,206,1206-CPO-0306,5,Ocean Concrete,14mm Aggregate Premium,EA,19.4,10.0,194.0,3/30/1953
18729,206,1206-CPO-0306,6,Ocean Concrete,Returned Concrete - Per load to all returned concrete > 2 m3,EA,4.0,25.0,100.0,3/30/1953
18730,206,1206-CPO-0308,1,Ocean Concrete,25MPA 75MM Walls - Typical Ext.,m3,1.0,124.0,124.0,3/30/1953
18731,206,1206-CPO-0308,2,Ocean Concrete,Environmental charge - Applies per m3 to all concrete,EA,1.0,6.0,6.0,3/30/1953
18732,206,1206-CPO-0308,3,Ocean Concrete,Fuel Surcharge - Applies per load to all concrete,EA,1.0,10.0,10.0,3/30/1953
18733,206,1206-CPO-0308,4,Ocean Concrete,14mm Aggregate Premium,EA,1.0,10.0,10.0,3/30/1953
18734,206,1206-CPO-0310,1,Ocean Concrete,25MPA @ 56 Days 75MM Alt. to Mix # 5 Footings - Typical,m3,7.0,123.0,861.0,3/30/1953
18735,206,1206-CPO-0310,2,Ocean Concrete,FlowCrete HRWR - 110 mm Slump,EA,7.0,6.0,42.0,3/30/1953
18736,206,1206-CPO-0310,3,Ocean Concrete,Environmental charge - Applies per m3 to all concrete,EA,7.0,6.0,42.0,3/30/1953
18737,206,1206-CPO-0310,4,Ocean Concrete,Fuel Surcharge - Applies per load to all concrete,EA,1.0,10.0,10.0,3/30/1953
18738,206,1206-CPO-0311,1,Ocean Concrete,25MPA 80MM Blinding A,m3,2.0,142.0,284.0,3/30/1953
18739,206,1206-CPO-0311,2,Ocean Concrete,FlowCrete HRWR - 110 mm Slump,EA,2.0,6.0,12.0,3/30/1953
18740,206,1206-CPO-0311,3,Ocean Concrete,Environmental charge - Applies per m3 to all concrete,EA,2.0,6.0,12.0,3/30/1953
18741,206,1206-CPO-0311,4,Ocean Concrete,Fuel Surcharge - Applies per load to all concrete,EA,1.0,10.0,10.0,3/30/1953
18742,206,1206-CPO-0312,1,Ocean Concrete,25MPA 75MM Walls - Typical Ext.,m3,4.0,124.0,496.0,3/30/1953
18743,206,1206-CPO-0312,2,Ocean Concrete,FlowCrete HRWR - 110 mm Slump,EA,4.0,6.0,24.0,3/30/1953
18744,206,1206-CPO-0312,3,Ocean Concrete,Environmental charge - Applies per m3 to all concrete,EA,4.0,6.0,24.0,3/30/1953
18745,206,1206-CPO-0312,4,Ocean Concrete,Fuel Surcharge - Applies per load to all concrete,EA,1.0,10.0,10.0,3/30/1953
18749,206,1208-010,4,Design Lighting Ltd.,fixtures exterior and landscape - Change,LS,0.0,0.0,0.0,26-56-10
18751,206,1208-049,1,A&B Tool Rentals Ltd,Temp lighting,LS,0.0,0.0,140.0,01-51-26
18753,206,1208-073,2,Fireplaces Unlimited,Permits,LS,0.0,0.0,324.0,10/31/2010
18754,206,1208-073,3,Fireplaces Unlimited,Regulators,LS,0.0,0.0,300.0,10/31/2010
18757,206,1208-075,2,Pro-Bel Group Limited,Optional Anchor Waterproofing,EA,8.0,50.0,400.0,11/24/2023
18760,206,1208-078,2,Fleetwood Ironworks Ltd,Elevator Hoist Beam,LS,0.0,0.0,750.0,05-50-10
18761,206,1208-078,3,Fleetwood Ironworks Ltd,Trench Grate Support Angle c/w Nelson studs,LS,0.0,0.0,475.0,05-50-10
18762,206,1208-078,4,Fleetwood Ironworks Ltd,"Trench Grating (2' x 14"")",LS,0.0,0.0,900.0,05-50-10
18765,206,1208-083,3,Solus Decor Inc.,Customer Care Kit,EA,3.0,0.0,0.0,10/31/2010
18770,206,1208-089,4,Han Appliances Ltd.,Additional installation costs due to client appliance change,LS,0.0,0.0,316.5,11-31-30
